Scheduler,Partitions,Parallelism,Shuffle Partitions,Iteration,Time,CPU
FIFO,1,1,1,1,29.862365245819092,-7.699999999999996
FIFO,1,1,1,2,26.769869089126587,1.0
FIFO,1,1,1,3,27.23509383201599,12.299999999999997
FIFO,1,1,1,4,26.599925994873047,10.699999999999996
FAIR,1,1,1,1,26.118550062179565,11.200000000000003
FAIR,1,1,1,2,26.31557607650757,11.5
FAIR,1,1,1,3,27.075763940811157,16.1
FAIR,1,1,1,4,28.217063903808594,2.700000000000003
FIFO,1,1,101,1,26.81840682029724,10.199999999999996
FIFO,1,1,101,2,26.75829005241394,7.300000000000004
FIFO,1,1,101,3,26.972628116607666,12.0
FIFO,1,1,101,4,26.760385990142822,11.799999999999997
FAIR,1,1,101,1,26.565608024597168,9.700000000000003
FAIR,1,1,101,2,26.375867128372192,13.200000000000003
FAIR,1,1,101,3,26.55628490447998,8.800000000000004
FAIR,1,1,101,4,26.47186017036438,11.799999999999997
FIFO,1,101,1,1,28.127824783325195,12.399999999999999
FIFO,1,101,1,2,27.640236139297485,13.600000000000001
FIFO,1,101,1,3,27.92646026611328,9.0
FIFO,1,101,1,4,27.374629020690918,12.700000000000003
FAIR,1,101,1,1,27.747209072113037,13.5
FAIR,1,101,1,2,28.072820901870728,12.699999999999996
FAIR,1,101,1,3,27.164835929870605,13.100000000000001
FAIR,1,101,1,4,26.98641014099121,13.600000000000001
FIFO,1,101,101,1,27.45559287071228,13.100000000000001
FIFO,1,101,101,2,26.9824640750885,13.700000000000003
FIFO,1,101,101,3,28.11111879348755,16.5
FIFO,1,101,101,4,27.64033079147339,9.199999999999996
FAIR,1,101,101,1,27.39599585533142,12.300000000000004
FAIR,1,101,101,2,26.98336100578308,12.899999999999999
FAIR,1,101,101,3,27.1194486618042,13.199999999999996
FAIR,1,101,101,4,27.046499013900757,13.0
FIFO,101,1,1,1,33.271979093551636,9.799999999999997
FIFO,101,1,1,2,32.350399017333984,11.899999999999999
FIFO,101,1,1,3,32.464345932006836,13.0
FIFO,101,1,1,4,32.53482413291931,13.400000000000006
FAIR,101,1,1,1,32.51523184776306,11.399999999999999
FAIR,101,1,1,2,32.366990089416504,11.5
FAIR,101,1,1,3,32.0233211517334,12.399999999999999
FAIR,101,1,1,4,32.214271068573,7.600000000000001
FIFO,101,1,101,1,32.79386806488037,13.700000000000003
FIFO,101,1,101,2,32.46520185470581,15.200000000000003
FIFO,101,1,101,3,34.10325002670288,26.800000000000004
FIFO,101,1,101,4,33.21322989463806,14.0
FAIR,101,1,101,1,32.77249503135681,11.700000000000003
FAIR,101,1,101,2,33.15167689323425,14.0
FAIR,101,1,101,3,32.55592703819275,15.100000000000001
FAIR,101,1,101,4,32.713133096694946,14.099999999999994
FIFO,101,101,1,1,28.348140001296997,14.700000000000003
FIFO,101,101,1,2,28.836905002593994,13.5
FIFO,101,101,1,3,29.470744848251343,13.399999999999999
FIFO,101,101,1,4,27.14766216278076,17.299999999999997
FAIR,101,101,1,1,27.483234167099,15.5
FAIR,101,101,1,2,29.04385781288147,17.6
FAIR,101,101,1,3,28.326447010040283,19.0
FAIR,101,101,1,4,27.98109793663025,17.199999999999996
FIFO,101,101,101,1,27.75683617591858,16.200000000000003
FIFO,101,101,101,2,26.729795932769775,22.4
FIFO,101,101,101,3,26.932875156402588,23.9
FIFO,101,101,101,4,25.758291959762573,12.300000000000004
FAIR,101,101,101,1,26.03445816040039,16.6
FAIR,101,101,101,2,24.340651035308838,14.800000000000004
FAIR,101,101,101,3,27.03392195701599,22.800000000000004
FAIR,101,101,101,4,26.877291679382324,23.300000000000004
