Scheduler,Partitions,Parallelism,Shuffle Partitions,Iteration,Time,CPU
FIFO,1,1,126,9,28.134482860565186,15.100000000000001
FIFO,1,1,126,10,27.561023950576782,1.1000000000000014
FAIR,1,1,126,1,27.01590609550476,9.700000000000003
FAIR,1,1,126,2,26.523834943771362,11.899999999999999
FAIR,1,1,126,3,26.76517391204834,10.899999999999999
FAIR,1,1,126,4,26.896605014801025,10.799999999999997
FAIR,1,1,126,5,26.528861045837402,11.300000000000004
FAIR,1,1,126,6,26.894355058670044,11.0
FAIR,1,1,126,7,26.782557010650635,11.099999999999994
FAIR,1,1,126,8,26.629289865493774,11.899999999999999
FAIR,1,1,126,9,26.673970937728882,10.900000000000006
FAIR,1,1,126,10,27.477176189422607,14.0
FIFO,1,26,1,1,27.986434936523438,12.700000000000003
FIFO,1,26,1,2,26.31019687652588,11.299999999999997
FIFO,1,26,1,3,27.63706398010254,13.899999999999999
FIFO,1,26,1,4,26.895275115966797,12.5
FIFO,1,26,1,5,26.55267882347107,13.0
FIFO,1,26,1,6,26.48644995689392,11.199999999999996
FIFO,1,26,1,7,26.243183851242065,11.800000000000004
FIFO,1,26,1,8,26.594305992126465,12.5
FIFO,1,26,1,9,27.705561876296997,11.900000000000006
FIFO,1,26,1,10,27.537819862365723,13.0
FAIR,1,26,1,1,27.97742486000061,9.5
